subject,session,experiment_block,delay_time,delay_duration,log_num,log_time
SC000,0,0,281727314.78590196,20000,0,281747.3089356175
SC000,0,1,281829537.942052,20000,0,281849.522408203
SC000,0,2,281931535.08506095,20000,0,281951.5264663445
SC000,0,3,282038884.702294,20000,0,282058.86817120446
SC000,0,4,282137796.53457195,20000,0,282157.78730842145
