subject,session,experiment_block,experiment_phase,trial_index,item,item_category,celebrity_face,celebrity_gender,interval,interval_type,test_condition,item_response,item_time_to_respond,face_response,face_time_to_respond,interval_response,interval_time_to_respond,trial_time,log_num,log_time
SC000,0,0,RETRIEVAL,14,archery,inorganic,jimmy_kimmel,male,6000,long,none,none,-999.0,F,520.7220960292034,F,709.3442225595936,298928877.83720404,0,298952.8689490915
SC000,0,0,RETRIEVAL,15,flower,organic,jeff_goldblum,male,6000,long,none,none,-999.0,F,577.8960830066353,H,591.8559219571762,298958877.473153,0,298982.8689490915
SC000,0,0,RETRIEVAL,16,tiger,organic,amy_adams,female,3000,short,none,none,-999.0,F,491.0849650623277,F,432.8438430093229,298988877.203565,0,299009.8689490915
SC000,0,0,RETRIEVAL,17,cat,organic,dakota_fanning,Female,3000,short,both,none,-999.0,H,2157.6959150261246,F,1508.637480030302,299015876.852561,0,299036.8689490915
SC000,0,0,RETRIEVAL,18,piano,inorganic,keira_knightley,female,3000,short,none,none,-999.0,F,787.169064511545,F,638.1040940177627,299042889.285798,0,299063.8689490915
SC000,0,0,RETRIEVAL,19,salt,organic,james_mcavoy,male,3000,short,time,none,-999.0,F,574.5414414559491,F,494.32967096799985,299069876.916782,0,299090.8689490915
SC000,0,0,RETRIEVAL,20,puzzle,inorganic,jonah_hill,Male,3000,short,both,none,-999.0,H,1747.209171531722,F,916.3505300530232,299096877.965933,0,299117.8689490915
SC000,0,0,RETRIEVAL,21,printer,inorganic,nathalie_emmanuel,Female,3000,short,both,none,-999.0,H,926.9935569609515,F,1173.7202850054018,299123887.945296,0,299144.8689490915
SC000,0,0,RETRIEVAL,22,kangaroo,organic,millie_bobby_brown,female,3000,short,none,none,-999.0,F,730.9682760387659,F,511.8036735220812,299150877.036367,0,299171.8689490915
SC000,0,0,RETRIEVAL,23,flashlight,inorganic,chris_pratt,Male,3000,short,face,none,-999.0,H,837.6136279548518,H,701.1951564927585,299177878.10531,0,299198.8689490915
