subject,session,experiment_phase,trial_index,log_num,log_time
SC000,0,STUDY1,134,0,327558.530621487
SC000,0,STUDY1,135,0,327565.169635488
SC000,0,STUDY1,136,0,327571.38109042996
SC000,0,STUDY1,137,0,327577.640862791
SC000,0,STUDY1,138,0,327584.3237906875
SC000,0,STUDY1,139,0,327592.086904529
SC000,0,STUDY1,140,0,327598.8024988355
SC000,0,STUDY1,141,0,327605.67719451746
SC000,0,STUDY1,142,0,327612.1807446965
SC000,0,STUDY1,143,0,327619.68526609195
SC000,0,STUDY1,144,0,327626.6787631025
SC000,0,STUDY1,145,0,327633.870884161
SC000,0,STUDY1,146,0,327640.1759062545
SC000,0,STUDY1,147,0,327646.73428091
SC000,0,STUDY1,148,0,327652.989207002
SC000,0,STUDY1,149,0,327659.232389271
SC000,0,STUDY1,150,0,327666.109905974
SC000,0,STUDY1,151,0,327672.534043171
SC000,0,STUDY1,152,0,327679.768487126
SC000,0,STUDY1,153,0,327686.049087827
SC000,0,STUDY1,154,0,327692.823240493
SC000,0,STUDY1,155,0,327699.937840915
SC000,0,STUDY1,156,0,327706.820147585
SC000,0,STUDY1,157,0,327713.9780467545
SC000,0,STUDY1,158,0,327720.6850001125
SC000,0,STUDY1,159,0,327726.90435463446
SC000,0,STUDY1,160,0,327733.6381656005
SC000,0,STUDY1,161,0,327740.348302637
SC000,0,STUDY1,162,0,327747.1607679095
SC000,0,STUDY1,163,0,327754.7178221765
SC000,0,STUDY1,164,0,327762.243991746
SC000,0,STUDY1,165,0,327769.6190224275
SC000,0,STUDY1,166,0,327775.8779165215
SC000,0,STUDY1,167,0,327782.4524164025
SC000,0,STUDY1,168,0,327789.3816889415
SC000,0,STUDY1,169,0,327795.6286362645
SC000,0,STUDY1,170,0,327801.859899841
SC000,0,STUDY1,171,0,327808.377115932
SC000,0,STUDY1,172,0,327815.2176797425
SC000,0,STUDY1,173,0,327822.473834448
SC000,0,STUDY1,174,0,327828.6084141195
SC000,0,STUDY1,175,0,327835.31572781247
SC000,0,STUDY1,176,0,327841.62527732353
SC000,0,STUDY1,177,0,327847.7528980695
SC000,0,STUDY1,178,0,327854.2217362505
SC000,0,STUDY1,179,0,327860.980082892
SC000,0,STUDY1,180,0,327869.049260309
SC000,0,STUDY1,181,0,327875.4670328065
SC000,0,STUDY1,182,0,327882.0700478235
SC000,0,STUDY1,183,0,327888.5082948115
SC000,0,STUDY1,184,0,327895.132245317
SC000,0,STUDY1,185,0,327901.48319867754
SC000,0,STUDY1,186,0,327907.9490671425
SC000,0,STUDY1,187,0,327914.169356626
SC000,0,STUDY1,188,0,327920.874532311
SC000,0,STUDY1,189,0,327927.359562114
SC000,0,STUDY1,190,0,327933.8506252585
SC000,0,STUDY1,191,0,327941.004578973
SC000,0,STUDY1,192,0,327947.14778888505
SC000,0,STUDY1,193,0,327954.45917188155
SC000,0,STUDY1,194,0,327962.09812191396
SC000,0,STUDY1,195,0,327970.2136178615
SC000,0,STUDY1,196,0,327976.178303839
SC000,0,STUDY1,197,0,327982.190246197
SC000,0,STUDY1,198,0,327989.159744027
SC000,0,STUDY1,199,0,327995.5388117635
SC000,0,STUDY1,200,0,328002.0096232
SC000,0,STUDY1,201,0,328008.5853067055
SC000,0,STUDY1,202,0,328015.269360923
SC000,0,STUDY1,203,0,328021.52183385496
SC000,0,STUDY1,204,0,328027.714041924
SC000,0,STUDY1,205,0,328034.856501019
SC000,0,STUDY1,206,0,328040.8818101635
SC000,0,STUDY1,207,0,328047.0409202435
SC000,0,STUDY1,208,0,328054.76472071104
SC000,0,STUDY1,209,0,328060.8962867395
SC000,0,STUDY1,210,0,328067.36579923704
SC000,0,STUDY1,211,0,328073.4292530125
SC000,0,STUDY1,212,0,328080.251227693
SC000,0,STUDY1,213,0,328086.8031381655
SC000,0,STUDY1,214,0,328093.7232650155
SC000,0,STUDY1,215,0,328100.7989677055
SC000,0,STUDY2,0,0,328546.2667035735
SC000,0,STUDY2,1,0,328553.069832167
SC000,0,STUDY2,2,0,328559.4773486805
SC000,0,STUDY2,3,0,328567.0341345585
SC000,0,STUDY2,4,0,328573.8181916155
SC000,0,STUDY2,5,0,328580.45981672546
SC000,0,STUDY2,6,0,328586.57426853455
SC000,0,STUDY2,7,0,328593.438196162
SC000,0,STUDY2,8,0,328599.716668849
SC000,0,STUDY2,9,0,328605.922322651
SC000,0,STUDY2,10,0,328612.089033552
SC000,0,STUDY2,11,0,328618.5341057
SC000,0,STUDY2,12,0,328624.6949543855
