subject,session,experiment_phase,trial_index,log_num,log_time
SC000,0,TEST,168,0,331504.220094081
SC000,0,TEST,169,0,331510.933308344
SC000,0,TEST,170,0,331517.49739429296
SC000,0,TEST,171,0,331524.81975824595
SC000,0,TEST,172,0,331531.9650593805
SC000,0,TEST,173,0,331538.76001756603
SC000,0,TEST,174,0,331546.0164290325
SC000,0,TEST,175,0,331552.709528657
SC000,0,TEST,176,0,331559.316860859
SC000,0,TEST,177,0,331565.690973365
SC000,0,TEST,178,0,331571.9479338745
SC000,0,TEST,179,0,331578.3535203005
SC000,0,TEST,180,0,331585.14321969205
SC000,0,TEST,181,0,331592.0833611005
SC000,0,TEST,182,0,331598.313055285
SC000,0,TEST,183,0,331605.00330291747
SC000,0,TEST,184,0,331611.898695807
SC000,0,TEST,185,0,331618.94559693197
SC000,0,TEST,186,0,331625.967910818
SC000,0,TEST,187,0,331632.65863916546
SC000,0,TEST,188,0,331638.5640951065
SC000,0,TEST,189,0,331644.87018581503
SC000,0,TEST,190,0,331651.2419991675
SC000,0,TEST,191,0,331657.407439509
