subject,session,experiment_phase,event,trial_index,noun,noun_type,noun_category,environment,test_condition,response,time_to_respond,log_num,log_time
SC000,0,STUDY1,ENCODING_LONG,44,ROCKET,INANIMATE,vehicles,sand_dunes,REARRANGED,S,2118.3757170219906,0,326844.82476040104
SC000,0,STUDY1,ENCODING_LONG,45,HEN,ANIMATE,birds,canyon,SAME,A,1683.4068560274318,0,326851.535700201
SC000,0,STUDY1,ENCODING_LONG,46,SKIRT,INANIMATE,clothing,beach,REARRANGED,S,1340.2911779703572,0,326857.917690966
SC000,0,STUDY1,ENCODING_LONG,47,CROW,ANIMATE,birds,beach,REARRANGED,A,2222.5608060252853,0,326865.168296364
SC000,0,STUDY1,ENCODING_LONG,48,PANTS,INANIMATE,clothing,beach,SAME,S,1462.1245619491674,0,326871.65799279197
SC000,0,STUDY1,ENCODING_LONG,49,JAGUAR,ANIMATE,mammals,sand_dunes,SAME,A,1797.4728280096315,0,326878.48467715504
SC000,0,STUDY1,ENCODING_LONG,50,TANK,INANIMATE,vehicles,canyon,SAME,S,1754.0241305250674,0,326885.2663969125
SC000,0,STUDY1,ENCODING_LONG,51,MIRROR,INANIMATE,furniture,canyon,SAME,S,1762.9710214678198,0,326892.0671470155
SC000,0,STUDY1,ENCODING_LONG,52,SINGER,ANIMATE,people,sand_dunes,SAME,A,1693.0702469544485,0,326898.79045
SC000,0,STUDY1,ENCODING_LONG,53,BULLDOZER,INANIMATE,vehicles,beach,REARRANGED,S,2150.623560475651,0,326905.9809925305
SC000,0,STUDY1,ENCODING_LONG,54,BUFFALO,ANIMATE,mammals,sand_dunes,SAME,A,1606.6363559802994,0,326912.61211458
SC000,0,STUDY1,ENCODING_LONG,55,ALMOND,INANIMATE,food,beach,SAME,S,2630.940160539467,0,326920.27360506554
SC000,0,STUDY1,ENCODING_LONG,56,KETCHUP,INANIMATE,food,beach,SAME,S,1972.3689149832353,0,326927.273153694
SC000,0,STUDY1,ENCODING_LONG,57,KOALA,ANIMATE,mammals,canyon,SAME,A,1484.7620209911838,0,326933.785753078
SC000,0,STUDY1,ENCODING_LONG,58,GRILL,INANIMATE,furniture,beach,SAME,S,1380.3859510226175,0,326940.193727597
SC000,0,STUDY1,ENCODING_LONG,59,OFFICER,ANIMATE,people,sand_dunes,SAME,A,1499.1717640659772,0,326946.73243053805
SC000,0,STUDY1,ENCODING_LONG,60,DRYER,INANIMATE,furniture,beach,REARRANGED,S,1658.3303539664485,0,326953.417942667
SC000,0,STUDY1,ENCODING_LONG,61,SANDAL,INANIMATE,clothing,sand_dunes,SAME,S,2119.987061014399,0,326960.564016619
SC000,0,STUDY1,ENCODING_LONG,62,CLOWN,ANIMATE,people,canyon,SAME,A,2110.8288894756697,0,326967.71456346347
