subject,session,experiment_block,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,-1,SYNC_PULSE_TEST,-1,338688530.897278,0,338688.521335477
SC000,0,-1,SYNC_PULSE_TEST,-1,338689522.070172,0,338689.521335477
SC000,0,-1,SYNC_PULSE_TEST,-1,338690521.63464797,0,338690.521335477
SC000,0,-1,SYNC_PULSE_TEST,-1,338691521.871487,0,338691.521335477
SC000,0,-1,SYNC_PULSE_TEST,-1,338692522.004103,0,338692.521335477
SC000,0,-1,SYNC_PULSE_TEST,-1,338693521.94507796,0,338693.521335477
SC000,0,-1,SYNC_PULSE_TEST,-1,338694521.900723,0,338694.521335477
SC000,0,-1,SYNC_PULSE_TEST,-1,338695522.14416796,0,338695.521335477
SC000,0,-1,SYNC_PULSE_TEST,-1,338696522.58271104,0,338696.521335477
SC000,0,-1,SYNC_PULSE_TEST,-1,338697522.332621,0,338697.521335477
SC000,0,0,ENCODING,0,338705864.21663904,0,338711.8595518265
SC000,0,0,ENCODING,1,338714860.041207,0,338720.8595518265
SC000,0,0,ENCODING,2,338723859.82493,0,338729.8595518265
SC000,0,0,ENCODING,3,338732859.841989,0,338738.8595518265
SC000,0,0,ENCODING,4,338741860.26073897,0,338747.8595518265
SC000,0,0,ENCODING,5,338750859.741359,0,338756.8595518265
SC000,0,0,ENCODING,6,338759860.404542,0,338765.8595518265
SC000,0,0,ENCODING,7,338768859.881031,0,338774.8595518265
SC000,0,0,ENCODING,8,338777859.822374,0,338783.8595518265
SC000,0,0,ENCODING,9,338786860.157435,0,338792.8595518265
SC000,0,0,ENCODING,10,338795860.05573,0,338801.8595518265
SC000,0,0,ENCODING,11,338804859.707936,0,338810.8595518265
SC000,0,0,ENCODING,12,338813859.915537,0,338819.8595518265
SC000,0,0,ENCODING,13,338822859.65308,0,338828.8595518265
SC000,0,0,ENCODING,14,338831859.65275604,0,338837.8595518265
SC000,0,0,ENCODING,15,338840860.157619,0,338846.8595518265
SC000,0,0,ENCODING,16,338849859.72520596,0,338855.8595518265
SC000,0,0,ENCODING,17,338858859.927014,0,338864.8595518265
SC000,0,0,ENCODING,18,338867860.168831,0,338873.8595518265
SC000,0,0,ENCODING,19,338876860.052059,0,338882.8595518265
SC000,0,0,ENCODING,20,338885860.059503,0,338891.8595518265
SC000,0,0,ENCODING,21,338894860.108895,0,338900.8595518265
SC000,0,0,ENCODING,22,338903859.747796,0,338909.8595518265
SC000,0,0,ENCODING,23,338912860.202196,0,338918.8595518265
SC000,0,0,ENCODING,24,338921860.07177603,0,338927.8595518265
SC000,0,0,ENCODING,25,338930859.950062,0,338936.8595518265
SC000,0,0,ENCODING,26,338939860.075703,0,338945.8595518265
SC000,0,0,ENCODING,27,338948859.8641,0,338954.8595518265
SC000,0,0,ENCODING,28,338957859.658874,0,338963.8595518265
SC000,0,0,ENCODING,29,338966859.801888,0,338972.8595518265
SC000,0,0,ENCODING,30,338975860.018773,0,338981.8595518265
SC000,0,0,ENCODING,31,338984860.19559,0,338990.8595518265
SC000,0,0,ENCODING,32,338993859.85923195,0,338999.8595518265
SC000,0,0,ENCODING,33,339002860.061959,0,339008.8595518265
SC000,0,0,ENCODING,34,339011859.72605,0,339017.8595518265
SC000,0,0,ENCODING,35,339020860.081387,0,339026.8595518265
SC000,0,0,ENCODING,36,339029859.984393,0,339035.8595518265
SC000,0,0,ENCODING,37,339038860.114047,0,339044.8595518265
SC000,0,0,ENCODING,38,339047859.864012,0,339053.8595518265
SC000,0,0,ENCODING,39,339056860.096651,0,339062.8595518265
SC000,0,0,ENCODING,40,339065865.237957,0,339071.8595518265
SC000,0,0,ENCODING,41,339074860.10253096,0,339080.8595518265
SC000,0,0,ENCODING,42,339083860.138218,0,339089.8595518265
SC000,0,0,ENCODING,43,339092859.649339,0,339098.8595518265
SC000,0,0,ENCODING,44,339101864.761586,0,339107.8595518265
SC000,0,0,RETRIEVAL,0,339270366.193075,0,339276.35983947245
SC000,0,0,RETRIEVAL,1,339279360.46776,0,339285.35983947245
SC000,0,0,RETRIEVAL,2,339288360.37737,0,339294.35983947245
SC000,0,0,RETRIEVAL,3,339297364.857768,0,339303.35983947245
SC000,0,0,RETRIEVAL,4,339306360.166305,0,339312.35983947245
SC000,0,0,RETRIEVAL,5,339315360.01716405,0,339321.35983947245
SC000,0,0,RETRIEVAL,6,339324359.997453,0,339330.35983947245
SC000,0,0,RETRIEVAL,7,339333365.994313,0,339339.35983947245
SC000,0,0,RETRIEVAL,8,339342360.373136,0,339348.35983947245
