subject,session,experiment_block,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,-1,SYNC_PULSE_TEST,-1,381281328.658799,0,381281.3072057365
SC000,0,-1,SYNC_PULSE_TEST,-1,381282307.865998,0,381282.3072057365
SC000,0,-1,SYNC_PULSE_TEST,-1,381283307.58647996,0,381283.3072057365
SC000,0,-1,SYNC_PULSE_TEST,-1,381284356.96091604,0,381284.3072057365
SC000,0,-1,SYNC_PULSE_TEST,-1,381285307.820158,0,381285.3072057365
SC000,0,-1,SYNC_PULSE_TEST,-1,381286309.041344,0,381286.3072057365
SC000,0,-1,SYNC_PULSE_TEST,-1,381287307.959827,0,381287.3072057365
SC000,0,-1,SYNC_PULSE_TEST,-1,381288307.68253005,0,381288.3072057365
SC000,0,-1,SYNC_PULSE_TEST,-1,381289307.601712,0,381289.3072057365
SC000,0,-1,SYNC_PULSE_TEST,-1,381290307.51665,0,381290.3072057365
SC000,0,0,ENCODING,0,381331084.396763,0,381337.078469482
SC000,0,0,ENCODING,1,381340078.801937,0,381346.078469482
SC000,0,0,ENCODING,2,381349078.677512,0,381355.078469482
SC000,0,0,ENCODING,3,381358078.838618,0,381364.078469482
SC000,0,0,ENCODING,4,381367078.801637,0,381373.078469482
SC000,0,0,ENCODING,5,381376079.19461,0,381382.078469482
SC000,0,0,ENCODING,6,381385079.216167,0,381391.078469482
SC000,0,0,ENCODING,7,381394078.641503,0,381400.078469482
SC000,0,0,ENCODING,8,381403086.033841,0,381409.078469482
SC000,0,0,ENCODING,9,381412078.766998,0,381418.078469482
SC000,0,0,ENCODING,10,381421078.958728,0,381427.078469482
SC000,0,0,ENCODING,11,381430079.168059,0,381436.078469482
SC000,0,0,ENCODING,12,381439078.608184,0,381445.078469482
SC000,0,0,ENCODING,13,381448078.560105,0,381454.078469482
SC000,0,0,ENCODING,14,381457078.63062704,0,381463.078469482
SC000,0,0,ENCODING,15,381466078.59425896,0,381472.078469482
SC000,0,0,ENCODING,16,381475078.606052,0,381481.078469482
SC000,0,0,ENCODING,17,381484078.70615304,0,381490.078469482
SC000,0,0,ENCODING,18,381493078.755485,0,381499.078469482
SC000,0,0,ENCODING,19,381502078.580357,0,381508.078469482
SC000,0,0,ENCODING,20,381511078.700312,0,381517.078469482
SC000,0,0,ENCODING,21,381520079.003349,0,381526.078469482
SC000,0,0,ENCODING,22,381529078.71173,0,381535.078469482
SC000,0,0,ENCODING,23,381538078.805452,0,381544.078469482
SC000,0,0,ENCODING,24,381547078.591243,0,381553.078469482
SC000,0,0,ENCODING,25,381556078.725597,0,381562.078469482
SC000,0,0,ENCODING,26,381565078.65576303,0,381571.078469482
SC000,0,0,ENCODING,27,381574078.923025,0,381580.078469482
SC000,0,0,ENCODING,28,381583078.71006,0,381589.078469482
SC000,0,0,ENCODING,29,381592078.75817394,0,381598.078469482
SC000,0,0,ENCODING,30,381601078.65392,0,381607.078469482
SC000,0,0,ENCODING,31,381610078.70481294,0,381616.078469482
SC000,0,0,ENCODING,32,381619078.77752596,0,381625.078469482
SC000,0,0,ENCODING,33,381628078.861194,0,381634.078469482
SC000,0,0,ENCODING,34,381637078.701133,0,381643.078469482
SC000,0,0,ENCODING,35,381646078.941297,0,381652.078469482
SC000,0,0,ENCODING,36,381655078.716894,0,381661.078469482
SC000,0,0,ENCODING,37,381664078.91264,0,381670.078469482
SC000,0,0,ENCODING,38,381673078.913693,0,381679.078469482
SC000,0,0,ENCODING,39,381682078.86427003,0,381688.078469482
SC000,0,0,ENCODING,40,381691078.894982,0,381697.078469482
SC000,0,0,ENCODING,41,381700078.72826296,0,381706.078469482
SC000,0,0,ENCODING,42,381709078.950532,0,381715.078469482
SC000,0,0,ENCODING,43,381718078.608469,0,381724.078469482
SC000,0,0,ENCODING,44,381727078.823241,0,381733.078469482
SC000,0,0,RETRIEVAL,0,381896248.209976,0,381902.242528088
SC000,0,0,RETRIEVAL,1,381905249.69393,0,381911.242528088
SC000,0,0,RETRIEVAL,2,381914242.85147,0,381920.242528088
SC000,0,0,RETRIEVAL,3,381923243.037619,0,381929.242528088
SC000,0,0,RETRIEVAL,4,381932242.719279,0,381938.242528088
SC000,0,0,RETRIEVAL,5,381941242.930124,0,381947.242528088
SC000,0,0,RETRIEVAL,6,381950242.94372004,0,381956.242528088
